step,base-mem,mlu-mem,diff_abs,diff_relative,max_error_range,success
1,70675.5302734375,70639.5244140625,36.00585938,0.0005094529780773692,0.002,1
2,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
3,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
4,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
5,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
6,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
7,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
8,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
9,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
10,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
11,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
12,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
13,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
14,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
15,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
16,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
17,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
18,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
19,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
20,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
21,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
22,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
23,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
24,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
25,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
26,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
27,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
28,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
29,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
30,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
31,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
32,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
33,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
34,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
35,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
36,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
37,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
38,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
39,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
40,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
41,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
42,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
43,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
44,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
45,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
46,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
47,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
48,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
49,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
50,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
51,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
52,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
53,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
54,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
55,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
56,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
57,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
58,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
59,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
60,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
61,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
62,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
63,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
64,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
65,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
66,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
67,71320.64844,71252.642578125,68.00585938,0.0009535227296004631,0.002,1
