step,base-mem,mlu-mem,diff_abs,diff_relative,max_error_range,success
154,69898,69856,42,0.0006008755615325188,0.002,1
155,69898,69856,42,0.0006008755615325188,0.002,1
156,69898,69856,42,0.0006008755615325188,0.002,1
157,69898,69856,42,0.0006008755615325188,0.002,1
158,69898,69856,42,0.0006008755615325188,0.002,1
159,69898,69856,42,0.0006008755615325188,0.002,1
160,69898,69856,42,0.0006008755615325188,0.002,1
161,69898,69856,42,0.0006008755615325188,0.002,1
162,69898,69856,42,0.0006008755615325188,0.002,1
163,69898,69856,42,0.0006008755615325188,0.002,1
164,69898,69856,42,0.0006008755615325188,0.002,1
165,69898,69856,42,0.0006008755615325188,0.002,1
166,69898,69856,42,0.0006008755615325188,0.002,1
167,69898,69856,42,0.0006008755615325188,0.002,1
168,69898,69856,42,0.0006008755615325188,0.002,1
169,69898,69856,42,0.0006008755615325188,0.002,1
170,69898,69856,42,0.0006008755615325188,0.002,1
171,69898,69856,42,0.0006008755615325188,0.002,1
172,69898,69856,42,0.0006008755615325188,0.002,1
173,69898,69856,42,0.0006008755615325188,0.002,1
174,69898,69856,42,0.0006008755615325188,0.002,1
175,69898,69856,42,0.0006008755615325188,0.002,1
176,69898,69856,42,0.0006008755615325188,0.002,1
177,69898,69856,42,0.0006008755615325188,0.002,1
178,69898,69856,42,0.0006008755615325188,0.002,1
179,69898,69856,42,0.0006008755615325188,0.002,1
180,69898,69856,42,0.0006008755615325188,0.002,1
181,69898,69856,42,0.0006008755615325188,0.002,1
182,69898,69856,42,0.0006008755615325188,0.002,1
183,69898,69856,42,0.0006008755615325188,0.002,1
184,69898,69856,42,0.0006008755615325188,0.002,1
185,69898,69856,42,0.0006008755615325188,0.002,1
186,69898,69856,42,0.0006008755615325188,0.002,1
187,69898,69856,42,0.0006008755615325188,0.002,1
188,69898,69856,42,0.0006008755615325188,0.002,1
189,69898,69856,42,0.0006008755615325188,0.002,1
190,69898,69856,42,0.0006008755615325188,0.002,1
191,69898,69856,42,0.0006008755615325188,0.002,1
192,69898,69856,42,0.0006008755615325188,0.002,1
193,69898,69856,42,0.0006008755615325188,0.002,1
194,69898,69856,42,0.0006008755615325188,0.002,1
195,69898,69856,42,0.0006008755615325188,0.002,1
196,69898,69856,42,0.0006008755615325188,0.002,1
197,69898,69856,42,0.0006008755615325188,0.002,1
